dataset,model,acc_mean,acc_sd,mcc_mean,mcc_sd,mcc_min,mcc_max,bal_mean,bal_sd,n_splits,dmcc_vs_base_mean,splits_flank_better_mcc,splits_flank_worse_mcc,dbal_vs_base_mean,splits_flank_better_bal,splits_flank_worse_bal
hotspot,majority,0.5710136061118177,0.09328374528545592,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,6.0,,,,,,
hotspot,CNN_21bp_position_blind,0.19195341842554922,0.10748331655877989,0.03721303560028675,0.0952061383508276,-0.0490155823669036,0.189947348230538,0.2477806413714212,0.05292122032665619,6.0,,,,,,
hotspot,ref_base,0.6400984640289252,0.09806586138457696,0.3732127197250435,0.07130923795340917,0.2960175906624169,0.4600554538074592,0.3333333333333333,0.0,6.0,,,,,,
hotspot,LR_pm1,0.6301967888202262,0.09550113185594289,0.35465386378449204,0.07344041957280156,0.2546926865633687,0.443998022036512,0.33754636914489095,0.009476607412457516,6.0,-0.018558855940551483,0.0,0.0,0.004213035811557658,0.0,0.0
hotspot,LR_pm2,0.622876847624032,0.0991071549004249,0.32709057246717405,0.08465895388785097,0.2217339785001268,0.447979784079722,0.33386614110277707,0.03118652666876891,6.0,-0.046122147257869485,0.0,1.0,0.0005328077694437364,0.0,1.0
hotspot,LR_pm5,0.589431082925243,0.10177829959691244,0.31096507167675896,0.1009000582982111,0.18595462477914357,0.4509074319685178,0.3628395605332855,0.028346459581514254,6.0,-0.06224764804828451,0.0,1.0,0.029506227199952162,0.0,0.0
hotspot,LR_pm10,0.5958039089032865,0.13411643247822175,0.3310148403111859,0.1291122083753096,0.14536019773433828,0.4473570829266689,0.378345728493465,0.048641347731489426,6.0,-0.04219787941385763,0.0,0.0,0.04501239516013161,1.0,0.0
rare,majority,0.3700223989640022,0.02926976695171886,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,6.0,,,,,,
rare,CNN_21bp_position_blind,0.2177641404901657,0.052822815022093315,0.020629795649871902,0.05830649373596321,-0.0436196374915029,0.1105243937246305,0.18198070393602936,0.05334549415502717,6.0,,,,,,
rare,ref_base,0.5552651367301583,0.023823878811970782,0.421390218647177,0.015665433714794078,0.40278619027612744,0.4380054912718151,0.3333333333333333,0.0,6.0,,,,,,
rare,LR_pm1,0.5552651367301583,0.023823878811970782,0.421390218647177,0.015665433714794078,0.40278619027612744,0.4380054912718151,0.3333333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
rare,LR_pm2,0.5552651367301583,0.023823878811970782,0.421390218647177,0.015665433714794078,0.40278619027612744,0.4380054912718151,0.3333333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
rare,LR_pm5,0.5360271001184714,0.033445287115971896,0.3893827525504319,0.04232611239890014,0.3145146148300697,0.4380054912718151,0.31888270779918804,0.019477103720291118,6.0,-0.03200746609674516,0.0,1.0,-0.01445062553414527,0.0,0.0
rare,LR_pm10,0.5243182858879517,0.03652941799689034,0.36890581102473385,0.039208595777871544,0.3370680747485987,0.43719429580397784,0.3210731223350152,0.03306269010662047,6.0,-0.0524844076224432,0.0,2.0,-0.012260210998318052,0.0,1.0
