dataset,split_seed,model,n_test_loci,n_test_instances,best_C,acc,mcc,bal_acc,acc_lo,acc_hi,mcc_lo,mcc_hi,bal_lo,bal_hi,dmcc_vs_majority,dmcc_vs_majority_lo,dmcc_vs_majority_hi,dbal_vs_majority,dbal_vs_majority_lo,dbal_vs_majority_hi,dmcc_vs_ref_base,dmcc_vs_ref_base_lo,dmcc_vs_ref_base_hi,dbal_vs_ref_base,dbal_vs_ref_base_lo,dbal_vs_ref_base_hi
hotspot,42,majority,70,112511,,0.6493853934281981,0.0,0.16666666666666666,0.3574748373926888,0.77674237580913,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.4600554538074592,-0.5739539471098002,-0.32428861973973,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
hotspot,42,ref_base,70,112511,,0.7330216601043453,0.4600554538074592,0.3333333333333333,0.5284770560384942,0.824636718446696,0.32428861973972994,0.5739539471098002,0.3333333333333333,0.3333333333333333,0.4600554538074592,0.32428861973972994,0.5739539471098002,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,42,LR_pm1,70,112511,0.1,0.7259823483926016,0.443998022036512,0.3354001952495082,0.512066196931856,0.8205504055000469,0.29851000982565395,0.5584780245686563,0.3287414363219417,0.344043100524506,0.443998022036512,0.29851000982565395,0.5584780245686563,0.16873352858284155,0.162074769655275,0.17737643385783933,-0.016057431770947206,-0.045318459401006546,0.0006626957900681931,0.002066861916174889,-0.0045918970113916395,0.01070976719117266
hotspot,42,LR_pm2,70,112511,0.1,0.729866413061834,0.447979784079722,0.3427016298618362,0.5198398844743594,0.8226510983786771,0.30844822955375134,0.5604526482073265,0.3034694388465082,0.3735990856951392,0.447979784079722,0.30844822955375134,0.5604526482073265,0.17603496319516956,0.13680277217984155,0.2069324190284726,-0.012075669727737215,-0.041716604438375396,0.012448035563698308,0.009368296528502906,-0.02986389448682512,0.04026575236180592
hotspot,42,LR_pm5,70,112511,1.0,0.5097012736532428,0.24684603981894354,0.36961623111350866,0.2403739125590244,0.7278264595632834,0.06215301927257266,0.5068040451579213,0.27336437544663156,0.46452441154286855,0.24684603981894354,0.06215301927257266,0.5068040451579213,0.202949564446842,0.10669770877996489,0.2978577448762019,-0.21320941398851567,-0.38615913407443164,0.05314113209202235,0.03628289778017535,-0.05996895788670177,0.1311910782095352
hotspot,42,LR_pm10,70,112511,0.1,0.7225782367946245,0.4473570829266689,0.3608259137424754,0.5052807630239243,0.8106938958575778,0.2928805415251366,0.568264423795262,0.32470118565973544,0.4204628969387085,0.4473570829266689,0.2928805415251366,0.568264423795262,0.19415924707580876,0.15803451899306878,0.2537962302720418,-0.012698370880790288,-0.09855431984839268,0.06377683297554877,0.027492580409142098,-0.008632147673597873,0.08712956360537515
hotspot,43,majority,70,142099,,0.6848042561875876,0.0,0.16666666666666666,0.40091119383193285,0.801002784785052,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.4328291290522918,-0.5380987865491732,-0.3045524023497873,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
hotspot,43,ref_base,70,142099,,0.749744896163942,0.4328291290522918,0.3333333333333333,0.5524092441115972,0.842596299028412,0.3045524023497873,0.5380987865491732,0.3333333333333333,0.3333333333333333,0.4328291290522918,0.3045524023497873,0.5380987865491732,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,43,LR_pm1,70,142099,0.1,0.7472044138241648,0.42569885750620384,0.33330106221161065,0.5485699287826382,0.8405345938788632,0.2961371106849782,0.5310920793084402,0.33163865306783136,0.33464666168992757,0.42569885750620384,0.2961371106849782,0.5310920793084402,0.166634395544944,0.16497198640116473,0.16797999502326094,-0.007130271546087974,-0.019756938044912617,9.816372868021586e-05,-3.227112172266011e-05,-0.001694680265501937,0.0013133283565942733
hotspot,43,LR_pm2,70,142099,0.01,0.731025552607689,0.3575313347079896,0.2852911428984251,0.5126307297885683,0.8310620817153495,0.21099772300433908,0.480124734582107,0.2269050745602317,0.31877999745705293,0.3575313347079896,0.21099772300433908,0.480124734582107,0.11862447623175845,0.060238407893565056,0.1521133307903863,-0.07529779434430223,-0.1586339741634819,-0.025586163317655067,-0.048042190434908205,-0.10642825877310161,-0.014553335876280358
